Date,Description,Size,Price,Rating,Rting Cnt,Source
2022-01-19,"LG 48"" 2021 C1 4K HDR OLED Smart TV (OLED48C1AUB-OPENBOX)",48,1598.0,5.0,2,visions.ca
2022-01-19,"LG 48"" 2021 C1 4K HDR OLED Smart TV (OLED48C1AUB)",48,1698.0,4.8,2418,visions.ca
2022-01-19,"LG 55"" 2021 C1 4K HDR OLED Smart TV (OLED55C1AUB-OPENBOX)",55,1798.0,5.0,1,visions.ca
2022-01-19,"LG 55"" 2021 C1 4K HDR OLED Smart TV (OLED55C1AUB)",55,1898.0,4.8,2418,visions.ca
2022-01-19,"LG 65"" 2021 C1 4K HDR OLED Smart TV (OLED65C1AUB-OPENBOX)",65,2298.0,5.0,1,visions.ca
2022-01-19,"LG 65"" 2021 C1 4K HDR OLED Smart TV (OLED65C1AUB)",65,2498.0,4.8,2418,visions.ca
2022-01-19,"LG 65"" 2021 C1 4K HDR OLED Smart TV plus Klipsch R-4B Reference Soundbar with Wireless Subwoofer (PKG64650)",65,2598.0,0.0,0,visions.ca
2022-01-19,"LG 77"" 2021 C1 4K HDR OLED Smart TV (OLED77C1AUB-OPENBOX)",77,3998.0,5.0,1,visions.ca
2022-01-19,"LG 77"" 2021 C1 4K HDR OLED Smart TV (OLED77C1AUB)",77,4298.0,4.8,2418,visions.ca
2022-01-19,"LG 83"" C1 4K Smart OLED TV (OLED83C1AUA)",83,7998.0,4.8,2418,visions.ca
